,title,artist,top genre,year,bpm,nrgy,dnce
324,Focus,Ariana Grande,dance pop,2015,100,88,67
325,All About That Bass,Meghan Trainor,dance pop,2015,134,88,81
326,On My Mind,Ellie Goulding,dance pop,2015,155,71,70
327,Love Me Like You,Little Mix,dance pop,2015,106,67,79
328,Broken Arrows,Avicii,big room,2015,116,67,63
329,Booty,Jennifer Lopez,dance pop,2015,129,95,71
330,What Do You Mean? - Acoustic,Justin Bieber,canadian pop,2015,125,36,77
331,Mark My Words,Justin Bieber,canadian pop,2015,114,26,38
332,Lay It All on Me,Rudimental,dance pop,2015,123,75,67
333,American Oxygen,Rihanna,barbadian pop,2015,78,75,39
334,Bang Bang,Jessie J,australian pop,2015,150,75,71
335,Reality - Radio Edit,Lost Frequencies,belgian edm,2015,122,70,71
336,Alive,Sia,australian dance,2015,100,76,51
337,Sugar (feat. Francesco Yates),Robin Schulz,dance pop,2015,123,82,64
338,Been You,Justin Bieber,canadian pop,2015,113,78,74
339,Prayer in C - Robin Schulz Radio Edit,Lilly Wood and The Prick,french indie pop,2015,123,89,76
340,See You Again (feat. Charlie Puth),Wiz Khalifa,hip hop,2015,80,48,69
341,Heroes (we could be),Alesso,big room,2015,126,75,52
342,"Feel The Light - From The ""Home"" Soundtrack",Jennifer Lopez,dance pop,2015,156,60,47
343,Perfect,One Direction,boy band,2015,100,82,65
344,Ghosttown,Madonna,dance pop,2015,79,55,54
345,Bang My Head (feat. Sia & Fetty Wap),David Guetta,dance pop,2015,108,87,60
346,Bloodstream,Ed Sheeran,pop,2015,89,59,48
347,Living For Love,Madonna,dance pop,2015,123,79,67
348,Baby Don't Lie,Gwen Stefani,dance pop,2015,100,55,69
349,Don't Be so Hard on Yourself,Jess Glynne,dance pop,2015,120,82,57
350,Steal My Girl,One Direction,boy band,2015,77,76,47
351,"Celebrate (From the Original Motion Picture ""Penguins of Madagascar"")",Pitbull,dance pop,2015,127,85,68
352,We Are Here,Alicia Keys,hip pop,2015,93,67,64
353,St Jude,Florence + The Machine,art pop,2015,117,43,26
354,Yesterday (feat. Bebe Rexha),David Guetta,dance pop,2015,128,78,57
355,Time of Our Lives,Pitbull,dance pop,2015,124,80,72
356,Sparks,Hilary Duff,dance pop,2015,122,88,85
357,Mr. Put It Down,Ricky Martin,dance pop,2015,128,78,80
358,Legendary Lovers,Katy Perry,dance pop,2015,126,84,62
359,Spark The Fire,Gwen Stefani,dance pop,2015,120,80,88
360,Run Run Run,Kelly Clarkson,dance pop,2015,112,37,28
361,Let Me Be Your Lover,Enrique Iglesias,dance pop,2015,112,90,72
362,Dangerous,Jennifer Hudson,dance pop,2015,109,53,90
363,L.A.LOVE (la la),Fergie,dance pop,2015,202,39,48
364,The Hills,The Weeknd,canadian contemporary r&b,2016,113,56,58
365,Love Yourself,Justin Bieber,canadian pop,2016,100,38,61
366,Cake By The Ocean,DNCE,dance pop,2016,119,75,77
367,Don't Let Me Down,The Chainsmokers,electropop,2016,160,87,53
368,In the Name of Love,Martin Garrix,big room,2016,134,52,50
